,content,time,forward,comment,like,VIP,link
54,那个玛莎拉蒂女醉驾叫局长的新闻，越看越觉得哪里不对。就在女子要打电话的时候，交警不顾全国直播，“义正言辞”的制止了她，乍一看，我他妈差点被这货感动了呢。首先交警一把抢过女子正要拨打电话的手机，说道“电话不要打，吹”，然后是“我跟你讲谁都不要找，这里全程录音，全网直播，全国人民看着你”，最后更是提醒了一句，“你说出任何一个人的名字，都是害了他。”我得承认，这正面来看，交警说的做的一点没有错。但是从另一方面来说，我个人狭隘的认为他在保护上级领导。如果让事态自然发展，他只需要不插手，让女司机把电话打出去，让老百姓看看女司机口中的yu wei是谁，以及yu wei会说什么，是大公无私，还是徇私枉法？这个交警的行为真的符合规矩吗？在没有明确对方违法的情况下，他凭啥去夺人手机？他在直播的情况下如此老道圆滑，而不是给人一种正气凌然的执法形象，这正常吗？#微博新知博主##五个一百正能量##视野##民生##万象##热点##天下##社会热门#,21-11-11 00:16,11,166,490,1,1
55,#轿车从高架桥坠落致2死1伤#济南一轿车与押运车在高架桥上相撞场面惊险 交警：案件正在调查中#今日热门#猪有宝的微博视频​​​,21-11-9 17:52,0,4,8,0,1
56,#成都一病例关联10名感染者#成都1名食堂大爷感染，曾与确诊病例  打麻将，校方:已停课#今日热门#相当红的微博视频​​​,21-11-11 16:27,0,2,0,0,1
57,#大连庄河市一地调为中风险地区#大连一街道升级为高风险地区 ，①高风险区域有哪些措施？②大连目前的疫情透露出哪些讯息？众志成城共抗疫情#今日热门#圈内校草的微博视频​​​,21-11-8 12:30,0,1,2,1,1
58,美女被人贩子劫持拍路人一下，作出求救手势，向路人求救​​​​#十一月连更挑战##出道吧新星##初冬星动企划#金牌混剪的微博视频​​​,21-11-8 22:02,22,88,560,1,1
59,#大连5天新增100例#大连最新消息：连续六天无新增感染来源全部明确疫情源头已消除#今日热门#圈内校草的微博视频​​​,21-11-10 11:37,0,9,6,1,1
60,#深泽县昨日新增1例无症状#严峻 河北昨日新增确诊51例，无症状感染者69例#今日热门#相当红的微博视频​​​,21-11-9 23:09,0,0,0,0,1
61,#官方回应玛莎拉蒂女司机醉驾找关系#官方回应正在核查，老百姓其实更想知道，网传的这俩人，一个当地副区长兼任公安局长，另一个85后银行单身副行长，到底有没有关系？是什么关系？能醉驾还在交警面前跋扈高喊大叫，并直呼某领导大名，应该关系不一般，不然，常理上怎么会直呼其名还这么理所当然？等待官方通报，揭开大家的猜疑！,21-11-9 23:07,8,32,184,1,1
62,#官方回应玛莎拉蒂女司机醉驾找关系#不知道是不是他杰西法师的微博视频​​​,21-11-9 21:31,8,41,233,1,1
63,#玛莎拉蒂司机17分钟吹气66次#女方醉驾，接受检查的时候态度恶劣。而且一直叫嚣让余炜过来，这个区公安分局局长就是她要找的人么？ ​​​,21-11-9 09:01,178,548,3266,1,1
64,两个yuwei，看你们的火眼金睛，知道马斯拉蒂女说的是哪个了吗？#玛莎拉蒂司机17分钟吹气66次#​​​,21-11-9 13:15,130,454,1846,1,1
65,玛莎拉蒂女叫孙华，也就是叫yuwei局长来的那位，当晚就被保释出来了（貌似按照规定好像保释是被允许的吧），孙华是江西银行从空姐（航空学校）那里专门招收来的相当于公关，不懂业务，去年挂职于高新区支行，年薪100多万，35岁，山东人，至今未婚，有三套房，独自一人在南昌，游走在官场。@作家陈岚@疫苗与科学@烧伤超人阿宝@henryhunter@刺萼龙逵152@can_王先生呐,21-11-8 21:49,1110,359,5238,1,1
66,#黑龙江密山一医院大楼起火#哈尔滨一饭店装修时起火7人送医，伤者逃出火场后全身被熏黑#今日热门#修道者的微博视频​​​,21-11-7 14:17,0,0,1,1,1
67,#运城一男子当街持刀伤人#男子当街行凶持刀，幸好民警及时赶到将其制服#男子当街行凶持刀 #切勿冲动行事#今日热门#欢乐侠的微博视频​​​,21-11-6 21:36,8,98,520,1,1
68,#石家庄陆续解除封控区管控区#实施社区封闭式管理石家庄发布最新通告，众志成城共抗疫情，新型冠状病毒#今日热门#神兔影视的微博视频​​​,21-11-7 19:00,0,0,0,1,1
69,#石家庄陆续解除封控区管控区#石家庄对全市社区农村实行闭环管控 实拍管控后的街道#今日热门#吃瓜小喇叭的微博视频​​​,21-11-7 13:42,0,0,1,1,1
70,#北京本轮疫情以家庭传播为主#为北京响应速度点赞，接下来可能还会有发病病例，但已经控制。#今日热门#娱事抢先看的微博视频​​​,21-11-4 10:46,0,0,0,1,1
71,#河北新增确诊病例14例#河北新增14例本地确诊病例，河北石家庄市藁城区增村镇小果庄村调整为高风险地区。#今日热门#圈内扒姬的微博视频​​​,21-11-4 11:32,0,1,0,1,1
72,#河北新增确诊病例14例#河北一天新增确诊病例14例，无症状感染者30例。石家庄市藁城区增村镇小果庄村调整为全国唯一高风险地区。#今日热门#扒妹一米五的微博视频​​​,21-11-4 11:33,0,6,3,1,1
73,请广泛传播，让更多的人了解这个手势！#视频制作人出道计划##吸睛制作人计划#话情感的微博视频​​​,21-11-4 01:03,0,0,1,0,1
74,#北京昌平封控天通苑北二区商户#北京一地调为高风险天宫院街道管辖区域内公共场所全部关停#今日热门#圈内扒姬的微博视频​​​,21-11-3 12:34,0,2,0,1,1
75,#上海在建工地塔吊倾倒致1死2伤#突发武汉一工地塔吊倒塌，一辆小车被砸中，多人受伤#今日热门#神兔影视的微博视频​​​,21-11-2 07:12,0,0,0,1,1
76,天水疾控中心主任吴毅中被感染，有轻微症状，但是没有做核酸，还陪领导检查，吃饭，去麦积疾控中心督导，导致天水，麦积，以及市，区两级疾控中心人员全部成了密切接触者，并且使麦积卫生系统感染，致大部分医护人员隔离，导致源头调查瘫痪了，这就是天水不能及时公布病源轨迹的主要原因，现在由平凉市整体接管秦州区疾控中心，兰州和庆阳整体接管麦积疾控中心天水,21-11-3 10:32,0,0,0,0,1
77,#甘肃新增14例本土确诊#跪求省领导中央领导关注天水，让一群未成年的卫校学生上一线，确诊中很多未成年学生。精表路就是天水卫校，可后期报轨迹却不提卫校只提这条路，为什么？每天的报告都是几天前的确诊，发布轨迹迟缓，甚至有的不发布。天水疾控中心主任吴毅中被感染，有轻微症状，但是没有做核酸，还陪领导检查，吃饭，去麦积疾控中心督导，导致天水，麦积，以及市，区两级疾控中心人员全部成了密切接触者，并且使麦积卫生系统感染，致大部分医护人员隔离，导致源头调查瘫痪了，这就是天水不能及时公布病源轨迹的主要原因，现在由平凉市整体接管秦州区疾控中心，兰州和庆阳整体接管。这就是天水，官官相护，管理混乱，腐败至极！疫情很严重，小城关注度太低，以至于领导班子不作为只图政绩，年年修路可路依旧坑坑洼洼。天天搞文明城市，天天捡垃圾，公务员不上班了都跑马路上跟着捡垃圾，小摊小贩一律不让摆，不考虑实际民声！求求领导关注一下天水！！彻@央视新闻@人民日报,21-11-3 10:36,0,0,1,0,1
78,#甘肃天水新增确诊13例##甘肃新增14例本土确诊#跪求省领导中央领导关注天水，让一群未成年的卫校学生上一线，确诊中很多未成年学生。精表路就是天水卫校，可后期报轨迹却不提卫校只提这条路，为什么？每天的报告都是几天前的确诊，发布轨迹迟缓，甚至有的不发布。天水疾控中心主任吴毅中被感染，有轻微症状，但是没有做核酸，还陪领导检查，吃饭，去麦积疾控中心督导，导致天水，麦积，以及市，区两级疾控中心人员全部成了密切接触者，并且使麦积卫生系统感染，致大部分医护人员隔离，导致源头调查瘫痪了，这就是天水不能及时公布病源轨迹的主要原因，现在由平凉市整体接管秦州区疾控中心，兰州和庆阳整体接管。这就是天水，官官相护，管理混乱，腐败至极！疫情很严重，小城关注度太低，以至于领导班子不作为只图政绩，年年修路可路依旧坑坑洼洼。天天搞文明城市，天天捡垃圾，公务员不上班了都跑马路上跟着捡垃圾，小摊小贩一律不让摆，不考虑实际民声！求求领导关注一下天水！！@央视新闻@人民日报,21-11-3 11:20,0,0,1,0,1
79,#石家庄公布5名确诊者轨迹#河北新增确诊病例行为轨迹公布去过医院做过高铁住过酒店。#今日热门#吃瓜通鉴的微博视频​​​,21-11-2 12:11,64,67,253,1,1
80,为什么小孩会被绑在风筝上？香港正义姐蓝雪宝的微博视频​​​,21-10-31 21:33,25,33,143,1,1
81,中国老人扬名四海 ​​​,21-10-30 23:22,21,6,137,1,0
82,#北京疫情有3个独立传播分支#北京 此次疫情传播速度快，发现第1例至100例仅用5天。#今日热门#谁干的的微博视频​​​,21-10-31 18:00,0,0,0,1,1
83,#吉林一消防员出警归来遇到妻子和儿子#10月29日，吉林延边，一消防员出警归来路上遇到妻子和儿子。网友：这是碰上最幸福的邂逅。#吉林身边事##长春身边事#吉林乌拉圈的微博视频​​​,21-10-30 22:43,20,29,36,1,1
84,#年轻人爬山遇91岁爷爷帮收割稻谷#近日，几位年轻人爬山，回程途中帮91岁爷爷收割稻谷。网友：最暖心的一次登山via.吉林卫视#吉林身边事##长春身边事#吉林乌拉圈的微博视频​​​,21-10-30 13:27,9,15,40,1,1
85,中国老人在日本倒了。日本人扶了送医院了，检查俩小时啥毛病没有。家属和老人就是不依，经协商，扶老人的日本人付了10w日元。然后名古屋观光点所有店铺都张贴这个，提醒人们以后遇到类似事件必须马上报警#陋习#老莫真心话的微博视频​​​,21-10-30 13:48,0,1,0,1,1
0,10月30日，湖南长沙，网曝疑似一监考老师，拿着没收来的平板电脑卖钱时被物主发现！#微博公开课#军营纪事的微博视频​​​,21-10-31 10:35,5,10,75,1,1
1,山东省日照市五莲县，区号0633，疫情严重，急缺以下物资，求转发。您的一份爱，山城人会记得。加油，五莲！愿家家都健康平安！​​​,21-10-28 20:54,0,0,0,0,0
2,#石家庄新增1例无症状感染者#石家庄新增14例本土确诊，新增1例无症状感染者#今日热门#修道者的微博视频​​​,21-10-28 17:07,1,2,4,1,1
3,#日照疫情#五莲加油 已经开始建方舱医院了 希望疫情快点控制住吧微笑快到脸上来O的微博视频​​​,21-10-28 12:40,0,1,11,0,1
4,山东省日照市五莲县，疫情严重，急缺以下视频写着的抗疫物资，求大家转发，让更多的爱心人士看到[合十][合十][合十]小凤21855的微博视频​​​,21-10-28 16:01,1,5,3,0,1
5,投稿：吵架把孩子丢下去了，后来妈妈也跟着跳下去了网页链接​​​,21-10-28 16:14,108,469,6530,1,1
6,【北京疫情风险分区划定至社区 新增病例为天通苑女患者外孙】加强进口冷链食品监管，对大连凯洋食品有限公司等3家公司的海鲜产品采取下架、停售措施；要求全市肉类、水产品生产加工企业以及存储肉类、水产品冷库所有者建立本企业相关从业人员名册北京新增大连市疫情关联病例1例 为天通苑女病例的外孙（来自财新客户端） ​​​,21-10-28 12:38,0,3,2,0,1
7,请广泛传播，让更多的人了解这个手势！​​​​沦为笑柄的微博视频​​​,21-10-25 23:16,79,74,495,1,1
8,842天从禁赛到王者归来，瑞士法院撤销#孙杨#禁赛8年裁决，为支持者签名致谢，将冲击第15枚奥运金牌，清者自清明星相机包的微博视频​​​,21-10-26 22:27,72,124,1438,1,1
9,瑞士联邦法院撤销对#孙杨#禁赛8年裁决，将代表祖国参加明年东京奥运会王者归来！期待你再次将五星红旗送上世界之巅明星相机包的微博视频​​​,21-10-26 20:57,64,738,5530,1,1
10,太壮观了！这是在靠近俄罗斯和加拿大之间的北极圈内拍到的，这么大的月蚀只出现短短30秒！最佳农民的微博视频​​​,21-10-17 09:00,19,6,36,0,1
11,#北京西城现昌平阳性人员密接者#北京新增无症状感染者：住西城区金融街街道，某餐馆员工从事冷链相关工作，初步判定密接者224人#今日热门#看剧时间的微博视频​​​,21-10-25 07:48,0,0,2,1,1
12,甚好甚好！新纽约市长上任高唱中国国歌🇨🇳元宝宝爱吃肉肉的微博视频​​​,21-10-19 23:58,8192,31,30000.0,1,1
13,#景区高空滑索断裂致女子坠亡#有惊无险一女子景区玩滑索不慎从空中掉落，所幸下面有安全网接住。当事人称：规定只能一次一人，没注意看提示#今日热门#欢乐侠的微博视频​​​,21-10-21 08:13,4,15,129,1,1
14,请广泛传播，让更多的人了解这个手势！拍街者的微博视频​​​,21-10-17 11:21,22,25,106,1,1
15,#石家庄1人核酸阳性#石家庄第一轮核酸检测阳性354例#今日热门#小六子影视的微博视频​​​,21-10-25 19:12,0,1,0,1,1
